artist_id,artist_name,track_id,track_name,album_release_date,album_release_date_precision,is_explicit,duration_ms,popularity
6sFIWsNpZYqfjUpaCgueju,Carly Rae Jepsen,3TGRqZ0a2l1LRblBkJoaDx,Call Me Maybe,2012-01-01,day,False,193400,75
5j4HeCoUlzhfWtjAfM1acR,Stromae,2GYHyAoLWpkxLVa4oYTVko,Alors on danse - Radio Edit,2010-01-01,day,False,206066,81
1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,0uXO2GrNiIb1xHT9LUdxZE,Sexy Bitch (feat. Akon),2009-08-21,day,True,195853,69
0EmeFodog0BfCgMzAIvKQp,Shakira,1ZlHr9FYHT7YTbXCoxPq5C,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),2023-04-14,day,False,201773,79
2CzPCLry0VHxB4JNva2du6,Bellini,5aIfLbdgkbH7NbQryd1poB,Samba de Janeiro,1997-08-01,day,False,168444,68
0TnOYISbd1XYRBk9myaseg,Pitbull,5RzFJd6W40SDTyZkX6xx45,I Know You Want Me (Calle Ocho),2009-08-31,day,False,237120,71
08dJ0NJ9jMf8qdLmdhQ2yA,The Supermen Lovers,4UfupbARPxljVkBmuZlJnY,Starlight - Radio Edit,2001-01-01,day,False,234400,63
1SupJlEpv7RS2tPNRaHViT,Nicky Jam,5YUyW9opqNsMSEzzecZih1,X,2019-11-01,day,False,172854,76
3tXUeiWOSod3mSQ2lOautf,Wes,2wkoeulxiywQoKtniBbTHJ,Alane - Radio Version,1996-09-17,day,True,220133,56
5yOvAmpIR7hVxiS6Ls5DPO,Omah Lay,0zVk3uuV9UhxAt48F3OL12,Holy Ghost,2023-11-09,day,False,186153,74
4sbXXFzEWJY2zsZjelerjX,Dadju,2QcTf5lLMrrWTiElDInpTb,I love you,2023-12-08,day,False,238344,80
3Uv5hfyuC7TkLsQ6p4ikSb,Crayon,5mhM7bfzv52bzfCzlq8vH1,Ngozi,2023-07-21,day,False,221217,76
5gqmbbfjcikQBzPB5Hv13I,Gazo,6yqwxY8qifBBhyryjZutxk,MAMI WATA,2023-12-01,day,True,233240,73
687cZJR45JO7jhk1LHIbgq,Tems,4nFrcGM7MY1mpoQCC7Kefj,Me & U,2023-10-05,day,False,192935,82
6L8y2rKomt32RmT4wfwZS7,Jungeli,1eldTykrnkEBLX41bk5eMw,Petit génie,2023-08-04,day,True,217259,84
46pWGuE3dSwY3bMMXGBvVS,Rema,4E8EciYYzTKF4REO51XQiS,DND,2023-10-26,day,False,166000,69
1gqvlpGMzW0ynXNMlu6pIM,Warren Saada,2OujnEePhdoXKYSnsza4Rp,Sans toi,2024-01-18,day,False,155523,59
2hKQc001G7ggs3ZyxMdkGq,Patoranking,0V9hYbo9uL11hqLP3u0yqA,Babylon,2023-09-05,day,False,177318,71
45icwBBgjnEtg9ETR1Nipx,Emma'a,5Ymv6tlT7HgheiAfiU12mN,Biso Mibale (feat. Jungeli),2024-01-19,day,False,177692,47
1X6cBGnXpEpN7CmflLKmLV,Kizz Daniel,2oXElJdmnDXKkeWNEYiK7A,Too Busy To Be Bae,2023-12-11,day,False,177203,70
6a4YQ8ebVHffAYNkHn9nc8,Merveille,0dwT3Ao581GbtLCSzX1zRz,Ghetto,2023-10-25,day,False,137437,74
3wcj11K77LjEY1PkEazffa,Burna Boy,4RoKNqyZ9622tcAeNPNv5k,City Boys,2023-08-24,day,True,153346,81
4sbXXFzEWJY2zsZjelerjX,Dadju,1YQNuvUhIjaYbNi7FV2SVN,Makila : Wablé,2023-11-15,day,False,225903,70
3a1tBryiczPAZpgoZN9Rzg,Asake,04caQq1IeChrnBnvch1FQf,Lonely At The Top - Remix,2023-11-15,day,False,157714,66
4uJNQGa3L2frXDxwgouTIw,Franglish,403UULZfsCNgiCJlf7kii4,Trop parler,2023-08-03,day,False,183865,67
1X6cBGnXpEpN7CmflLKmLV,Kizz Daniel,02qAdqcn1HGt3RMWMTDkSe,Twe Twe,2023-12-11,day,False,145031,73
45oFvHE9QZYC1vn5pVCDlu,Ya Levis,01qwxKwItx2m5AzjvRYret,Rien à dire,2024-01-12,day,True,175410,50
3SozjO3Lat463tQICI9LcE,Tyla,5aIVCx5tnk0ntmdiinnYvw,Water,2023-07-28,day,False,200255,95
1AKP8Tnz8KfOdRM4mqvNtF,Lala &ce,1eTc0w4sRlkV0qz9hkbqMj,Jalouse,2024-01-19,day,True,193053,43
1E5hfn5BduN2nnoZCJmUVG,Victony,7CkDjDtJjCZA7AW7RBvrvC,OHEMA (with Crayon & Bella Shmurda),2023-11-21,day,True,205714,73
6kByPyGr60aeCsb8TGOWav,Jogga,0sZEwII5Qe3r7izOgdOvLT,SKEU SKEU (feat. wilsko & 7ia),2023-10-10,day,False,181786,72
6SZwuzkYiQwQIFMJ6VHCIV,WAYNE FLENORY,4fh2nObIUqrZdp79yot7uS,SUPARO - Remix,2023-12-08,day,True,161226,56
4uJNQGa3L2frXDxwgouTIw,Franglish,1CFcahfucbIGHRzLOP3qYX,Ça c'est bien,2023-11-09,day,False,159299,65
2ZLAPSgdMTOcovno5mGBZW,Jux,3osydJRsRqgVFKYTC04QfT,Enjoy,2023-07-14,day,False,216724,60
3ukrG1BmfEiuo0KDj8YTTS,Teni,3oTgmo1lW86dqzPUgsbQxX,Mercredi,2023-11-17,day,False,176341,53
7bXgB6jMjp9ATFy66eO08Z,Chris Brown,5HM5trJxTouv3eUVcbW8sh,Sensational (feat. Davido & Lojay),2023-10-20,day,True,231109,73
7IlRNXHjoOCgEAWN5qYksg,Aya Nakamura,0GTO1m0ZbLNvsl6EAMXpj7,Chérie,2023-08-17,day,False,188973,68
3tVQdUvClmAT7URs9V3rsp,Wizkid,0x3sDnom0itB72oEVrRE7v,Ololufe (feat. Wande Coal),2023-12-21,day,False,210194,75
4WxmlzvtfZbTyGB1LvR02X,Tam Sir,3YRe2NXbJ5aalCE0YH6YBo,Coup du marteau,2023-12-08,day,False,174589,64
0Y3agQaa6g2r0YmHPOO9rh,Davido,1mk8ZC9OeTZMr8Wy31LqRj,FEEL,2023-03-30,day,False,154512,75
4krMq8pXkLVTGplpYgHlnV,Ronisia,1jSJOq8PEYMnSdonuMz4eK,I Got U (feat. Niska),2023-11-15,day,True,202886,59
3SozjO3Lat463tQICI9LcE,Tyla,1whAXVGN8AdfrnoXNIXfJf,Truth or Dare,2023-12-01,day,False,190392,79
2D2Wm1oAJrDRzXVzxkyBOE,Hulk Van JMF,5WtWjJKaFlAJDCu1IzFAjM,Garde ta position,2023-12-15,day,False,133584,53
