is_explicit,duration_ms,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,duration_ms,time_signature
True,193053,193053,43,0.739,0.564,11,-8.387,1,0.12,0.138,0.00272,0.107,0.367,92.057,193053,193053,4
True,205714,205714,73,0.91,0.382,5,-12.723,0,0.0796,0.237,6.87e-06,0.0744,0.378,111.991,205714,205714,4
False,181786,181787,72,0.747,0.707,4,-5.943,0,0.0614,0.153,1.7e-06,0.108,0.581,102.043,181786,181787,4
True,161226,161227,56,0.708,0.721,6,-8.395,1,0.188,0.553,2.32e-05,0.165,0.808,99.967,161226,161227,4
False,159299,159300,65,0.531,0.494,4,-6.026,0,0.194,0.398,0.0,0.215,0.675,87.657,159299,159300,3
False,216724,216724,60,0.892,0.672,8,-4.669,1,0.0863,0.301,0.0,0.211,0.804,115.959,216724,216724,4
False,176341,176064,53,0.739,0.503,5,-8.18,0,0.0356,0.0981,0.000272,0.105,0.735,105.026,176341,176064,4
True,231109,231109,73,0.774,0.611,6,-7.077,1,0.126,0.108,0.0,0.116,0.808,100.011,231109,231109,4
False,188973,188974,68,0.795,0.479,6,-5.884,1,0.368,0.231,0.00906,0.0888,0.66,173.944,188973,188974,4
False,210194,210195,75,0.841,0.831,9,-5.64,0,0.0409,0.0864,0.00137,0.0708,0.584,111.016,210194,210195,4
False,174589,174589,64,0.804,0.876,11,-4.386,0,0.277,0.133,0.0,0.142,0.808,113.956,174589,174589,3
False,154512,154513,75,0.837,0.831,2,-6.21,1,0.08,0.0923,0.176,0.0819,0.529,111.978,154512,154513,4
True,202886,203480,59,0.795,0.573,8,-6.256,1,0.0785,0.162,7.35e-06,0.157,0.504,97.043,202886,203480,4
False,190392,190393,79,0.61,0.599,1,-5.752,1,0.341,0.183,0.000124,0.0854,0.805,154.255,190392,190393,5
False,133584,133585,53,0.674,0.638,4,-8.487,0,0.0977,0.223,0.0,0.136,0.808,159.058,133584,133585,3
False,174743,174744,76,0.804,0.744,10,-5.39,0,0.0395,0.184,0.388,0.104,0.775,104.981,174743,174744,4
False,165120,165121,58,0.713,0.638,4,-8.428,0,0.105,0.439,1.46e-05,0.287,0.485,125.019,165120,165121,4
True,139706,141505,65,0.895,0.426,7,-7.454,1,0.0909,0.289,9.71e-06,0.0835,0.317,111.997,139706,141505,4
False,183981,183981,59,0.828,0.48,10,-8.668,0,0.0942,0.302,4.24e-05,0.113,0.652,129.996,183981,183981,4
True,222640,222640,65,0.734,0.648,4,-5.509,1,0.173,0.124,0.0,0.215,0.672,97.984,222640,222640,4
False,176160,176160,64,0.416,0.514,5,-6.059,0,0.086,0.501,0.0,0.154,0.513,99.624,176160,176160,4
True,211873,211874,61,0.829,0.626,5,-6.412,1,0.0899,0.508,0.000132,0.112,0.716,96.036,211873,211874,4
False,135626,135627,52,0.735,0.595,5,-7.588,0,0.182,0.199,0.0,0.138,0.749,102.057,135626,135627,4
False,137885,137886,65,0.776,0.859,6,-5.141,0,0.0813,0.284,0.0,0.0951,0.807,115.002,137885,137886,4
False,162114,162115,50,0.711,0.643,4,-8.875,0,0.0617,0.231,0.000126,0.263,0.624,104.966,162114,162115,4
True,181979,182560,63,0.54,0.614,3,-6.922,0,0.36,0.504,0.0,0.118,0.781,95.955,181979,182560,4
False,164000,164000,52,0.711,0.601,9,-4.303,0,0.306,0.0635,0.0119,0.118,0.547,180.036,164000,164000,4
True,192826,192827,61,0.742,0.565,8,-7.422,0,0.144,0.291,0.000137,0.1,0.382,89.952,192826,192827,4
True,158449,153600,57,0.726,0.359,8,-16.651,0,0.299,0.752,3.91e-05,0.108,0.716,99.979,158449,153600,4
True,180512,180513,66,0.683,0.829,1,-6.378,0,0.0882,0.0598,1.62e-05,0.0727,0.916,77.929,180512,180513,5
False,388719,388720,39,0.824,0.536,8,-15.871,1,0.0911,0.186,0.00282,0.306,0.533,102.006,388719,388720,4
False,344539,344540,37,0.65,0.512,0,-9.876,1,0.0363,0.769,0.855,0.102,0.0377,103.0,344539,344540,4
False,347573,347573,35,0.767,0.713,5,-5.561,0,0.0378,0.299,0.806,0.0927,0.852,103.992,347573,347573,4
False,387169,387170,37,0.626,0.668,2,-7.364,1,0.0371,0.000634,0.857,0.0571,0.723,105.992,387169,387170,4
False,294211,294211,54,0.885,0.485,10,-9.299,1,0.0872,0.0868,0.79,0.0883,0.67,106.394,294211,294211,4
False,219906,219907,41,0.839,0.766,5,-7.493,0,0.0422,0.185,0.883,0.0672,0.635,107.01,219906,219907,4
False,205421,205421,50,0.768,0.747,9,-7.154,0,0.0474,0.171,0.0722,0.0534,0.921,108.014,205421,205421,4
False,341028,341028,35,0.796,0.72,11,-9.759,0,0.0429,0.0071,0.0251,0.041,0.923,111.989,341028,341028,4
False,376671,376671,33,0.514,0.515,1,-8.213,1,0.0343,0.0133,0.731,0.108,0.376,110.017,376671,376671,4
False,258235,258236,51,0.838,0.719,4,-8.831,1,0.0949,0.00845,0.00522,0.0377,0.86,111.021,258235,258236,4
False,372000,372000,39,0.785,0.867,11,-10.439,0,0.073,0.0795,0.842,0.0555,0.982,109.997,372000,372000,4
False,518918,518919,44,0.865,0.499,6,-14.552,0,0.165,0.164,0.879,0.109,0.439,111.007,518918,518919,4
False,380182,380183,36,0.689,0.491,4,-15.662,0,0.0465,0.111,0.699,0.66,0.164,110.009,380182,380183,4
False,191261,191262,39,0.774,0.415,6,-9.97,0,0.0341,0.0298,0.432,0.137,0.0579,111.99,191261,191262,4
False,215018,215018,32,0.664,0.674,5,-7.715,0,0.0368,0.000759,0.787,0.0974,0.346,112.035,215018,215018,4
False,553096,553097,40,0.814,0.463,2,-10.748,1,0.0402,0.0905,0.819,0.0956,0.168,112.0,553096,553097,4
False,267474,267475,29,0.821,0.798,2,-7.509,1,0.0389,0.0068,0.00773,0.149,0.379,112.01,267474,267475,4
False,301995,301995,50,0.849,0.648,11,-8.572,0,0.0941,0.0188,0.715,0.0801,0.424,111.968,301995,301995,4
False,349500,349501,31,0.819,0.86,10,-6.914,0,0.0475,0.331,0.784,0.048,0.724,112.011,349500,349501,4
False,285819,285819,27,0.708,0.829,2,-7.516,1,0.0388,0.221,0.0475,0.0896,0.607,111.988,285819,285819,4
False,379640,379640,39,0.564,0.656,9,-9.666,0,0.0344,0.0232,0.838,0.32,0.588,112.008,379640,379640,4
False,310133,310133,67,0.741,0.592,6,-9.059,0,0.0308,0.665,0.854,0.116,0.822,111.984,310133,310133,4
True,262232,262232,26,0.805,0.622,1,-8.529,1,0.0367,0.0271,3.29e-06,0.0655,0.443,111.961,262232,262232,4
